Card Name,Role,Rarity,Price,Owned,Proxy Needed,Edition
Sacred Foundry,Lands,Rare,$10.15,Yes,No,Edge of Eternities
Blasphemous Act,Removal,Rare,$0.78,Yes,No,Edge of Eternities Commander
Generous Gift,Removal,Uncommon,$1.63,Yes,No,The Lost Caverns of Ixalan Commander
Mountain,Lands,Common,$0.12,Yes,No,Lorwyn Eclipsed
Cinder Glade,Lands,Rare,$0.26,Yes,No,Edge of Eternities Commander
Temple of Plenty,Lands,Rare,$0.23,Yes,No,Final Fantasy Commander
Jungle Shrine,Lands,Uncommon,$0.68,Yes,No,The Lost Caverns of Ixalan Commander
Spectator Seating,Lands,Rare,$17.14,Yes,No,Commander Masters
Reprieve,Removal,Uncommon,$2.08,Yes,No,The Lord of the Rings: Tales of Middle-earth
Spire Garden,Lands,Rare,$23.07,Yes,No,Commander Legends: Battle for Baldur's Gate
Command Tower,Lands,Common,$0.33,Yes,No,Lorwyn Eclipsed Commander
Path of Ancestry,Lands,Common,$0.34,Yes,No,Lorwyn Eclipsed Commander
Bountiful Promenade,Lands,Rare,$18.08,Yes,No,Commander Legends: Battle for Baldur's Gate
Exotic Orchard,Lands,Rare,$0.26,Yes,No,Lorwyn Eclipsed Commander
Wooded Foothills,Lands,Rare,$18.40,Yes,No,Khans of Tarkir
Terramorphic Expanse,Lands,Common,$0.32,Yes,No,Lorwyn Eclipsed Commander
Windswept Heath,Lands,Rare,$11.98,Yes,No,Khans of Tarkir
Scryb Ranger,Combo Piece,Uncommon,$1.50,Yes,No,Time Spiral
"Multani, Yavimaya's Avatar",Win Condition,Mythic,$0.32,Yes,No,Edge of Eternities
Stampeding Wildebeests,Combo Piece,Common,$0.25,Yes,No,Visions
Evolutionary Leap,Combo Piece,Rare,$3.00,Yes,No,Magic Origins
Arid Archway,Lands,Uncommon,$0.62,Yes,No,Outlaws of Thunder Junction
Harmonize,Draw,Uncommon,$0.50,Yes,No,Planar Chaos
Tireless Tracker,Draw,Rare,$2.50,Yes,No,The List
Chocobo Kick,Interaction,Common,$0.21,Yes,No,Final Fantasy
Guildless Commons,Lands,Uncommon,$4.20,Yes,No,Commander Masters
"Sutina, Speaker of the Tajuru",Utility,Rare,$0.50,Yes,No,Edge of Eternities
"Yedora, Grave Gardener",Utility,Uncommon,$0.38,Yes,No,Multiverse Legends
Fecundity,Draw,Uncommon,$1.50,Yes,No,Urza's Saga
Quirion Ranger,Combo Piece,Common,$1.00,Yes,No,Visions
Beast Whisperer,Draw,Rare,$2.50,Yes,No,Murders at Karlov Manor Commander
Fellwar Stone,Ramp,Uncommon,$0.77,Yes,No,Lorwyn Eclipsed Commander
Return of the Wildspeaker,Draw,Rare,$1.00,Yes,No,Commander Masters
Cloudstone Curio,Combo Piece,Mythic,$15.59,No,Yes,
Garruk's Uprising,Draw,Uncommon,$0.50,Yes,No,Core Set 2021
Jungle Basin,Lands,Uncommon,$0.60,Yes,No,Commander Legends
Sol Ring,Ramp,Uncommon,$1.19,Yes,No,Tarkir: Dragonstorm Commander
Nervous Gardener,Combo Piece,Rare,$0.50,Yes,No,Bloomburrow
Greenbelt Radical,Utility,Common,$0.25,Yes,No,Modern Horizons 3
Living Lands,Utility,Rare,$2.00,Yes,No,Limited Edition Alpha
Den Protector,Combo Piece,Rare,$0.50,Yes,No,Dragons of Tarkir
Proteus Machine,Combo Piece,Uncommon,$1.00,Yes,No,Onslaught
Embodiment of Insight,Win Condition,Uncommon,$0.50,Yes,No,Oath of the Gatewatch
Rogue's Passage,Lands,Common,$0.50,Yes,No,Commander 2014
Avenger of Zendikar,Win Condition,Mythic,$1.50,Yes,No,Commander Masters
Ainok Survivalist,Combo Piece,Common,$0.25,Yes,No,Fate Reforged
Nantuko Vigilante,Combo Piece,Common,$0.50,Yes,No,Onslaught
Life and Limb,Combo Piece,Rare,$5.00,Yes,No,Time Spiral
Vengeful Creeper,Utility,Common,$0.25,Yes,No,Innistrad Remastered
Mosswort Bridge,Lands,Rare,$1.00,Yes,No,Duskmourn: House of Horror Commander
Forest,Lands,Common,$0.15,Yes,No,Secrets of Strixhaven
Flourishing Bloom-Kin,Utility,Rare,$0.50,Yes,No,Bloomburrow
Temur Charger,Combo Piece,Uncommon,$0.50,Yes,No,Khans of Tarkir
Culvert Ambusher,Utility,Common,$0.20,Yes,No,Edge of Eternities
Hauntwoods Shrieker,Combo Piece,Common,$0.25,Yes,No,Duskmourn: House of Horror
Printlifter Ooze,Combo Piece,Common,$0.25,Yes,No,Modern Horizons 3
Vastwood Zendikon,Utility,Common,$0.25,Yes,No,Worldwake
Rampaging Baloths,Win Condition,Rare,$0.50,Yes,No,Bloomburrow Commander
Harrow,Ramp,Common,$0.50,Yes,No,Invasion
Arcane Signet,Ramp,Common,$0.57,Yes,No,Phyrexia: All Will Be One Commander
Fyndhorn Elves,Ramp,Common,$2.49,Yes,No,Deckmasters
Emerald Medallion,Ramp,Rare,$5.00,Yes,No,Commander Masters
Lightning Greaves,Interaction,Uncommon,$2.00,Yes,No,Commander Masters
Elvish Mystic,Ramp,Common,$0.91,Yes,No,Commander Masters
Swiftfoot Boots,Interaction,Uncommon,$1.00,Yes,No,Commander 2014
Arbor Elf,Ramp,Common,$0.50,Yes,No,Magic 2013
Lotus Cobra,Ramp,Rare,$6.49,Yes,No,Iconic Masters
Kazandu Stomper,Win Condition,Common,$0.25,Yes,No,Zendikar Rising
Heroic Intervention,Interaction,Mythic,$14.37,Yes,No,Core Set 2021
Cultivate,Ramp,Common,$0.50,Yes,No,Commander Masters
Llanowar Elves,Ramp,Common,$0.31,Yes,No,Core Set 2019
Nature's Lore,Ramp,Common,$0.50,Yes,No,Mirage
Scute Swarm,Win Condition,Rare,$3.50,Yes,No,Zendikar Rising
Spore Frog,Utility,Common,$2.50,Yes,No,Mercadian Masques
Explore,Ramp,Common,$0.25,Yes,No,Khans of Tarkir
Kodama's Reach,Ramp,Common,$0.50,Yes,No,Commander Masters
Tamiyo's Safekeeping,Interaction,Common,$0.50,Yes,No,Kamigawa: Neon Dynasty
Tireless Provisioner,Utility,Uncommon,$1.50,Yes,No,Modern Horizons 2
Cankerbloom,Removal,Uncommon,$0.50,Yes,No,Phyrexia: All Will Be One
Wild Growth,Ramp,Common,$0.35,Yes,No,Fourth Edition
Rampant Growth,Ramp,Common,$0.99,Yes,No,Tarkir: Dragonstorm Commander
Zuran Orb,Combo Piece,Uncommon,$3.99,Yes,No,Modern Horizons 2
Beast Within,Removal,Uncommon,$0.51,Yes,No,Duskmourn: House of Horror Commander
Kenrith's Transformation,Removal,Uncommon,$0.50,Yes,No,Throne of Eldraine
"Nissa, Who Shakes the World",Win Condition,Rare,$4.00,Yes,No,War of the Spark
Deathmist Raptor,Combo Piece,Mythic,$0.50,Yes,No,Dragons of Tarkir
Blasting Station,Win Condition,Uncommon,$8.35,No,Yes,
Sakura-Tribe Elder,Ramp,Common,$0.79,Yes,No,Duskmourn: House of Horror Commander
Eternal Witness,Recursion,Uncommon,$1.24,Yes,No,Starter Commander Decks
Ashnod's Altar,Combo Piece,Uncommon,$3.00,Yes,No,Modern Horizons 3 Commander
