Card Name,Role,Rarity,Price,Owned,Proxy Needed,Edition
Molten Gatekeeper,Utility,Common,$0.27,Yes,No,Modern Horizons 3
Mosswort Bridge,Lands,Rare,$1.00,Yes,No,Duskmourn: House of Horror Commander
Mountain,Lands,Common,$0.12,Yes,No,Lorwyn Eclipsed
"Multani, Yavimaya's Avatar",Win Condition,Mythic,$0.32,Yes,No,Edge of Eternities
Nantuko Vigilante,Combo Piece,Common,$0.50,Yes,No,Onslaught
Nature's Lore,Ramp,Common,$0.50,Yes,No,Mirage
Nervous Gardener,Combo Piece,Rare,$0.50,Yes,No,Bloomburrow
"Nissa, Who Shakes the World",Win Condition,Rare,$4.00,Yes,No,War of the Spark
Norin the Wary,Combo Piece,Rare,$23.11,Yes,No,Time Spiral
Panharmonicon,Combo Piece,Rare,$9.46,Yes,No,The List
Path of Ancestry,Lands,Common,$0.34,Yes,No,Lorwyn Eclipsed Commander
Plains,Lands,Common,$0.82,Yes,No,Secrets of Strixhaven
Printlifter Ooze,Combo Piece,Common,$0.25,Yes,No,Modern Horizons 3
Proteus Machine,Combo Piece,Uncommon,$1.00,Yes,No,Onslaught
"Purphoros, God of the Forge",Win Condition,Mythic,$29.03,Yes,No,The List
Quirion Ranger,Combo Piece,Common,$1.00,Yes,No,Visions
Rampaging Baloths,Win Condition,Rare,$0.50,Yes,No,Bloomburrow Commander
Rampant Growth,Ramp,Common,$0.99,Yes,No,Tarkir: Dragonstorm Commander
Relic of Legends,Ramp,Uncommon,$2.74,Yes,No,Dominaria United
Reprieve,Removal,Uncommon,$2.08,Yes,No,The Lord of the Rings: Tales of Middle-earth
Return of the Wildspeaker,Draw,Rare,$1.00,Yes,No,Commander Masters
"Rocco, Cabaretti Caterer",Utility,Uncommon,$2.03,Yes,No,Streets of New Capenna
Rogue's Passage,Lands,Common,$0.50,Yes,No,Commander 2014
Rumor Gatherer,Draw,Uncommon,$0.38,Yes,No,Streets of New Capenna
Sacred Foundry,Lands,Rare,$10.15,Yes,No,Edge of Eternities
Sakura-Tribe Elder,Ramp,Common,$0.79,Yes,No,Duskmourn: House of Horror Commander
Saltskitter,Combo Piece,Common,$0.18,Yes,No,Future Sight
Samwise Gamgee,Recursion,Rare,$0.93,Yes,No,The Lord of the Rings: Tales of Middle-earth
"Saradoc, Master of Buckland",Utility,Rare,$0.39,Yes,No,The Lord of the Rings: Tales of Middle-earth
Scryb Ranger,Combo Piece,Uncommon,$1.50,Yes,No,Time Spiral
Scute Swarm,Win Condition,Rare,$3.50,Yes,No,Zendikar Rising
Sevinne's Reclamation,Recursion,Rare,$0.40,Yes,No,Modern Horizons 3
Smothering Tithe,Ramp,Rare,$52.28,Yes,No,Ravnica Allegiance
Sol Ring,Ramp,Uncommon,$1.19,Yes,No,Tarkir: Dragonstorm Commander
Sol Ring,Ramp,Uncommon,$1.19,Yes,No,Tarkir: Dragonstorm Commander
Soul of the Harvest,Draw,Rare,$2.48,Yes,No,Explorers of Ixalan
Spectator Seating,Lands,Rare,$17.14,Yes,No,Commander Masters
Spire Garden,Lands,Rare,$23.07,Yes,No,Commander Legends: Battle for Baldur's Gate
Spore Frog,Utility,Common,$2.50,Yes,No,Mercadian Masques
Stampeding Wildebeests,Combo Piece,Common,$0.25,Yes,No,Visions
Stomping Ground,Lands,Rare,$6.76,Yes,No,Edge of Eternities
Survivors' Bond,Recursion,Common,$0.16,Yes,No,Ikoria: Lair of Behemoths
"Sutina, Speaker of the Tajuru",Utility,Rare,$0.50,Yes,No,Edge of Eternities
Suture Priest,Utility,Common,$5.77,Yes,No,March of the Machine Commander
Swiftfoot Boots,Interaction,Uncommon,$1.00,Yes,No,Commander 2014
Swords to Plowshares,Removal,Uncommon,$1.31,Yes,No,Edge of Eternities Commander
Tamiyo's Safekeeping,Interaction,Common,$0.50,Yes,No,Kamigawa: Neon Dynasty
Temple Garden,Lands,Rare,$8.42,Yes,No,Return to Ravnica
Temple of Plenty,Lands,Rare,$0.23,Yes,No,Final Fantasy Commander
Temur Charger,Combo Piece,Uncommon,$0.50,Yes,No,Khans of Tarkir
Terramorphic Expanse,Lands,Common,$0.32,Yes,No,Lorwyn Eclipsed Commander
Tireless Provisioner,Utility,Uncommon,$1.50,Yes,No,Modern Horizons 2
Tireless Tracker,Draw,Rare,$2.50,Yes,No,The List
Tocasia's Welcome,Draw,Rare,$2.56,Yes,No,The Brothers' War
"Torbran, Thane of Red Fell",Win Condition,Rare,$3.13,Yes,No,Throne of Eldraine
Vastwood Zendikon,Utility,Common,$0.25,Yes,No,Worldwake
Vengeful Creeper,Utility,Common,$0.25,Yes,No,Innistrad Remastered
Wall of Blossoms,Draw,Uncommon,$0.33,Yes,No,Jumpstart
Warleader's Call,Win Condition,Rare,$7.79,Yes,No,Murders at Karlov Manor
Warstorm Surge,Win Condition,Rare,$0.64,Yes,No,Bloomburrow Commander
Weftstalker Ardent,Tokens,Uncommon,$0.80,Yes,No,Edge of Eternities
Welcoming Vampire,Draw,Rare,$3.21,Yes,No,Murders at Karlov Manor Commander
Wild Growth,Ramp,Common,$0.35,Yes,No,Fourth Edition
Wild Growth,Ramp,Common,$0.35,Yes,No,Fourth Edition
Windswept Heath,Lands,Rare,$11.98,Yes,No,Khans of Tarkir
Wirewood Symbiote,Recursion,Uncommon,$0.29,Yes,No,Modern Horizons 3
Witty Roastmaster,Win Condition,Common,$0.88,Yes,No,Streets of New Capenna
Wooded Foothills,Lands,Rare,$18.40,Yes,No,Khans of Tarkir
"Yedora, Grave Gardener",Utility,Uncommon,$0.38,Yes,No,Multiverse Legends
Zuran Orb,Combo Piece,Uncommon,$3.99,Yes,No,Modern Horizons 2
